scrap_id,work_order_id,inspection_id,scrap_date,machine_id,operator_id,shift_code,material_type,lot_id,defect_code_clean,quantity_scrapped,quantity_reworked,scrap_reason_raw,scrap_reason_clean,material_cost_per_unit,labor_cost_per_unit,total_scrap_cost
SCRAP-37,WO-10039,INSP-44,2023-01-05 16:16:37.628015636,M04,OP001,Shift B,"3/8"" Plate",,Surface Scratch,8,1,equipment failure,MACHINE_ISSUE,2.11,12.28,115.12
SCRAP-38,WO-10040,INSP-45,2023-01-05 19:06:18.562685129,M04,OP011,Shift B,"3/8"" Plate",,Surface Scratch,19,12,MACHINE_ISSUE,MACHINE_ISSUE,2.32,31.01,633.27
SCRAP-39,WO-10041,INSP-46,2023-01-05 20:09:57.181339186,M06,OP011,Shift B,Aluminum 5052,,Dimensional,6,4,human error,OPERATOR_ERROR,3.73,28.3,192.18
SCRAP-40,WO-10042,INSP-47,2023-01-05 20:09:10.346121365,M05,OP011,Shift B,Aluminum 5052,,Porosity,11,18,human error,OPERATOR_ERROR,5.4,40.54,505.34
SCRAP-41,WO-10045,INSP-50,2023-01-06 17:13:16.912401798,M04,OP016,Shift B,"1/4"" Plate",LOT-1002,Burr,0,1,machine issue,MACHINE_ISSUE,16.5,18.68,0.0
SCRAP-42,WO-10046,INSP-51,2023-01-06 12:24:03.603485583,M07,OP005,Shift A,Stainless 304,,Surface Scratch,20,2,MATERIAL_DEFECT,MATERIAL_DEFECT,1.88,30.44,646.4
SCRAP-43,WO-10047,INSP-52,2023-01-06 20:44:48.022267524,M05,OP014,Shift B,"3/8"" Plate",,Weld Defect,9,17,op err,OPERATOR_ERROR,6.96,35.27,380.07
SCRAP-44,WO-10049,INSP-55,2023-01-06 20:28:52.262550440,M04,OP007,Shift B,Stainless 304,,Dimensional,12,2,Setup Error,SETUP_ERROR,7.77,55.95,764.64
SCRAP-45,WO-10050,INSP-56,2023-01-06 10:44:06.877115501,M05,OP009,Shift A,"3/8"" Plate",,Porosity,15,2,Operator Error,OPERATOR_ERROR,4.11,52.56,850.05
SCRAP-46,WO-10051,INSP-57,2023-01-06 16:28:22.062344758,M04,OP001,Shift B,"1/4"" Plate",LOT-1002,Bend Angle,15,3,machine issue,MACHINE_ISSUE,18.7,19.59,574.35
SCRAP-47,WO-10052,INSP-58,2023-01-06 20:19:06.347742725,M03,OP011,Shift B,Stainless 304,,Bend Angle,64,11,Machine,MACHINE_ISSUE,5.72,45.18,3257.6
SCRAP-48,WO-10053,INSP-59,2023-01-06 11:48:25.161177679,M05,OP013,Shift A,"1/4"" Plate",LOT-1002,Porosity,10,1,equipment failure,MACHINE_ISSUE,3.94,21.32,252.6
SCRAP-49,WO-10054,INSP-60,2023-01-06 10:45:58.460125493,M02,OP017,Shift A,12ga Steel,,Surface Scratch,0,1,machine issue,MACHINE_ISSUE,0.96,22.25,0.0
SCRAP-50,WO-10054,INSP-61,2023-01-06 11:17:58.460125493,M02,OP017,Shift A,12ga Steel,,Surface Scratch,0,1,MATERIAL_DEFECT,MATERIAL_DEFECT,6.9,13.66,0.0
SCRAP-51,WO-10055,INSP-62,2023-01-07 10:19:57.741927757,M06,OP018,Shift A,Aluminum 5052,,Dimensional,20,2,design issue,DESIGN_ISSUE,1.01,8.74,195.0
SCRAP-52,WO-10056,INSP-63,2023-01-07 10:53:39.483091904,M06,OP019,Shift A,12ga Steel,LOT-1000,Weld Defect,5,2,op err,OPERATOR_ERROR,4.95,18.54,117.45
SCRAP-53,WO-10057,INSP-64,2023-01-07 07:42:33.537839278,M05,OP005,Shift A,12ga Steel,LOT-1000,Porosity,10,9,Op Error,OPERATOR_ERROR,3.74,36.09,398.3
SCRAP-54,WO-10058,INSP-65,2023-01-07 09:50:40.226910938,M05,OP013,,16ga Steel,LOT-1001,Porosity,4,4,human error,OPERATOR_ERROR,14.2,18.13,129.32
SCRAP-55,WO-10059,INSP-66,2023-01-07 09:50:23.800515642,M07,OP013,,"3/8"" Plate",,Bend Angle,20,1,SETUP_ERROR,SETUP_ERROR,3.93,56.1,1200.6
SCRAP-56,WO-10060,INSP-67,2023-01-07 18:20:45.056967813,M07,OP003,Shift B,Stainless 304,,Surface Scratch,8,13,Material Defect,MATERIAL_DEFECT,7.99,59.79,542.24
SCRAP-57,WO-10061,INSP-68,2023-01-07 19:04:50.466004798,M02,OP006,Shift B,12ga Steel,LOT-1000,Surface Scratch,6,10,Material Defect,MATERIAL_DEFECT,1.03,24.2,151.38
SCRAP-58,WO-10061,INSP-69,2023-01-07 19:32:50.466004798,M02,OP006,Shift B,12ga Steel,LOT-1000,Surface Scratch,12,4,bad material,MATERIAL_DEFECT,1.16,50.86,624.24
SCRAP-59,WO-10062,INSP-70,2023-01-07 15:33:48.704511454,M07,OP010,Shift B,Stainless 304,,Dimensional,3,2,TBD,UNKNOWN,6.55,34.09,121.92
SCRAP-60,WO-10063,INSP-71,2023-01-07 17:55:42.172668628,M01,OP001,Shift B,16ga Steel,LOT-1001,Burr,5,5,Unknown,UNKNOWN,3.09,53.3,281.95
SCRAP-61,WO-10064,INSP-72,2023-01-07 10:33:21.071784252,M01,OP019,Shift A,Aluminum 5052,,Dimensional,7,9,set up error,SETUP_ERROR,1.67,20.5,155.19
SCRAP-62,WO-10064,INSP-73,2023-01-07 10:56:21.071784252,M01,OP019,Shift A,Aluminum 5052,,Dimensional,10,6,MATERIAL_DEFECT,MATERIAL_DEFECT,5.26,19.52,247.8
SCRAP-63,WO-10065,INSP-74,2023-01-07 18:34:31.738317562,M01,OP012,Shift B,12ga Steel,LOT-1000,Burr,6,13,Operator,OPERATOR_ERROR,2.53,20.22,136.5
SCRAP-64,WO-10066,INSP-75,2023-01-07 16:39:39.948887024,M03,OP014,Shift B,Stainless 304,,Dimensional,17,10,human error,OPERATOR_ERROR,7.85,13.89,369.58
SCRAP-65,WO-10067,INSP-76,2023-01-09 11:31:31.921267883,M02,OP009,Shift A,16ga Steel,LOT-1001,Surface Scratch,5,1,Material Defect,MATERIAL_DEFECT,1.38,9.14,52.6
SCRAP-66,WO-10070,INSP-80,2023-01-09 09:58:35.461619477,M04,OP005,Shift A,"1/4"" Plate",LOT-1002,Bend Angle,10,14,Machine Issue,MACHINE_ISSUE,16.02,37.04,530.6
SCRAP-67,WO-10072,INSP-82,2023-01-09 08:40:34.159964701,M02,OP013,Shift A,Stainless 304,,Burr,0,1,OPERATOR_ERROR,OPERATOR_ERROR,3.23,56.32,0.0
SCRAP-68,WO-10073,INSP-83,2023-01-09 16:15:05.319909339,M01,OP001,Shift B,12ga Steel,LOT-1000,Dimensional,7,12,drawing error,DESIGN_ISSUE,1.43,18.72,141.05
SCRAP-69,WO-10074,INSP-84,2023-01-09 17:20:29.729704432,M04,OP003,Shift B,"3/8"" Plate",LOT-1004,Burr,0,2,Setup Error,SETUP_ERROR,2.37,39.14,0.0
SCRAP-70,WO-10075,INSP-85,2023-01-09 19:18:17.780135667,M07,OP003,,16ga Steel,LOT-1001,Dimensional,13,2,DESIGN_ISSUE,DESIGN_ISSUE,18.92,49.59,890.63
SCRAP-71,WO-10076,INSP-86,2023-01-09 18:58:17.842506027,M07,OP016,Shift B,Stainless 304,,Surface Scratch,17,12,Incoming Defect,MATERIAL_DEFECT,7.43,48.03,942.82
SCRAP-72,WO-10077,INSP-87,2023-01-09 17:50:27.765358577,M05,OP016,Shift B,16ga Steel,LOT-1001,Weld Defect,21,4,SETUP_ERROR,SETUP_ERROR,15.92,19.67,747.39
SCRAP-73,WO-10078,INSP-88,2023-01-10 19:51:37.738993134,M03,OP010,Shift B,Stainless 304,,Dimensional,22,25,machine issue,MACHINE_ISSUE,0.79,30.89,696.96
SCRAP-74,WO-10079,INSP-89,2023-01-10 11:26:27.871299033,M06,OP018,Shift A,Stainless 304,,Dimensional,9,11,Machine,MACHINE_ISSUE,6.65,52.92,536.13
SCRAP-75,WO-10080,INSP-90,2023-01-10 18:10:40.537688107,M06,OP011,Shift B,Stainless 304,,Porosity,6,1,Op Error,OPERATOR_ERROR,2.96,52.54,333.0
SCRAP-76,WO-10081,INSP-91,2023-01-10 18:54:46.250063409,M06,OP003,,16ga Steel,LOT-1001,Weld Defect,16,2,Op Error,OPERATOR_ERROR,10.45,42.37,845.12
SCRAP-77,WO-10082,INSP-92,2023-01-10 10:56:47.471673642,M07,OP004,Shift A,16ga Steel,LOT-1001,Dimensional,4,6,TBD,UNKNOWN,3.3,58.37,246.68
SCRAP-78,WO-10083,INSP-93,2023-01-10 17:28:24.578993054,M06,OP012,Shift B,14ga Steel,LOT-1006,Porosity,24,5,operator error,OPERATOR_ERROR,7.44,24.01,754.8
SCRAP-79,WO-10083,INSP-94,2023-01-10 18:04:24.578993054,M06,OP012,Shift B,14ga Steel,LOT-1006,Porosity,19,8,Mat Defect,MATERIAL_DEFECT,6.48,26.19,620.73
SCRAP-80,WO-10084,INSP-95,2023-01-10 17:47:24.415262137,M06,OP011,Shift B,"3/8"" Plate",LOT-1004,Surface Scratch,20,4,human error,OPERATOR_ERROR,2.51,33.6,722.2
SCRAP-81,WO-10085,INSP-96,2023-01-10 10:35:44.230507874,M05,OP018,Shift A,"1/4"" Plate",LOT-1002,Porosity,11,8,MACHINE_ISSUE,MACHINE_ISSUE,14.37,41.88,618.75
SCRAP-82,WO-10086,INSP-97,2023-01-10 18:59:46.294276715,M07,OP007,Shift B,"3/8"" Plate",LOT-1004,Burr,22,7,Unknown,UNKNOWN,4.94,39.27,972.62
SCRAP-83,WO-10087,INSP-98,2023-01-10 17:26:58.915307825,M05,OP001,Shift B,12ga Steel,LOT-1000,Surface Scratch,17,11,machine issue,MACHINE_ISSUE,1.9,22.01,406.47
SCRAP-84,WO-10088,INSP-99,2023-01-10 10:49:32.080265113,M04,OP005,Shift A,"1/4"" Plate",LOT-1002,Dimensional,7,3,setup err,SETUP_ERROR,11.04,15.55,186.13
SCRAP-85,WO-10089,INSP-100,2023-01-10 20:20:56.341090546,M07,OP014,,16ga Steel,LOT-1001,Burr,11,10,equipment failure,MACHINE_ISSUE,17.59,38.85,620.84
SCRAP-86,WO-10090,INSP-101,2023-01-10 09:18:17.984677092,M07,OP004,Shift A,16ga Steel,LOT-1001,Burr,12,2,Setup,SETUP_ERROR,6.72,16.56,279.36
SCRAP-87,WO-10091,INSP-102,2023-01-11 16:55:13.112114486,M04,OP010,Shift B,"1/4"" Plate",LOT-1002,Burr,2,4,machine issue,MACHINE_ISSUE,9.45,29.32,77.54
SCRAP-88,WO-10092,INSP-103,2023-01-11 09:10:59.376099868,M01,OP018,Shift A,16ga Steel,LOT-1001,Surface Scratch,5,2,Mach Issue,MACHINE_ISSUE,18.62,45.48,320.5
SCRAP-89,WO-10093,INSP-104,2023-01-11 12:06:13.115097527,M07,OP004,Shift A,16ga Steel,LOT-1001,Burr,33,5,Machine Issue,MACHINE_ISSUE,12.69,23.44,1192.29
SCRAP-90,WO-10094,INSP-105,2023-01-11 10:16:07.649269310,M01,OP009,Shift A,12ga Steel,LOT-1000,Incorrect Material,4,8,Material Defect,MATERIAL_DEFECT,1.51,15.95,69.84
SCRAP-91,WO-10096,INSP-107,2023-01-11 08:56:51.753104942,M05,OP002,Shift A,"3/8"" Plate",LOT-1004,Weld Defect,15,9,N/A,UNKNOWN,3.39,47.27,759.9
SCRAP-92,WO-10097,INSP-108,2023-01-11 11:24:23.512455156,M05,OP005,Shift A,Aluminum 5052,,Porosity,5,8,Machine,MACHINE_ISSUE,3.38,26.98,151.8
SCRAP-93,WO-10099,INSP-110,2023-01-11 10:01:55.177946156,M05,OP017,Shift A,12ga Steel,LOT-1000,Porosity,6,10,operator error,OPERATOR_ERROR,4.23,47.35,309.48
SCRAP-94,WO-10100,INSP-111,2023-01-11 18:49:34.610646949,M04,OP001,,12ga Steel,LOT-1000,Dimensional,11,7,bad material,MATERIAL_DEFECT,4.5,43.28,525.58
SCRAP-95,WO-10101,INSP-112,2023-01-11 17:52:17.358153182,M05,OP007,Shift B,16ga Steel,LOT-1001,Porosity,41,7,human error,OPERATOR_ERROR,16.6,30.11,1915.11
SCRAP-96,WO-10102,INSP-113,2023-01-12 11:28:38.481766624,M06,OP017,Shift A,14ga Steel,LOT-1003,Dimensional,10,2,setup err,SETUP_ERROR,7.01,22.45,294.6
SCRAP-97,WO-10104,INSP-115,2023-01-12 10:25:16.493146717,M07,OP020,Shift A,16ga Steel,LOT-1001,Burr,16,2,equipment failure,MACHINE_ISSUE,14.26,32.76,752.32
SCRAP-98,WO-10106,INSP-117,2023-01-12 08:42:36.604766302,M05,OP004,Shift A,14ga Steel,LOT-1006,Weld Defect,5,4,Operator,OPERATOR_ERROR,2.53,52.38,274.55
SCRAP-99,WO-10107,INSP-118,2023-01-12 18:54:43.567019930,M06,OP001,Shift B,Aluminum 5052,,Porosity,17,8,human error,OPERATOR_ERROR,5.28,47.12,890.8
SCRAP-100,WO-10109,INSP-120,2023-01-12 18:53:02.707822689,M06,OP003,Shift B,Stainless 304,LOT-1009,Dimensional,10,11,Mat Defect,MATERIAL_DEFECT,4.51,44.24,487.5
SCRAP-101,WO-10110,INSP-121,2023-01-12 18:27:52.960598284,M01,OP011,,Aluminum 5052,,Burr,8,8,Machine,MACHINE_ISSUE,4.55,12.61,137.28
SCRAP-102,WO-10111,INSP-122,2023-01-12 10:31:45.747735952,M02,OP017,Shift A,16ga Steel,LOT-1001,Surface Scratch,2,3,material defect,MATERIAL_DEFECT,5.09,27.82,65.82
SCRAP-103,WO-10112,INSP-123,2023-01-12 19:45:01.343383525,M05,OP006,,14ga Steel,LOT-1003,Dimensional,12,1,equipment failure,MACHINE_ISSUE,3.07,28.11,374.16
SCRAP-104,WO-10113,INSP-124,2023-01-12 07:44:28.416104341,M05,OP020,Shift A,"3/8"" Plate",LOT-1004,Weld Defect,16,7,setup err,SETUP_ERROR,0.43,53.44,861.92
SCRAP-105,WO-10114,INSP-125,2023-01-12 19:04:35.783568234,M04,OP016,Shift B,"1/4"" Plate",LOT-1002,Dimensional,9,1,Operator,OPERATOR_ERROR,7.44,46.44,484.92
SCRAP-106,WO-10115,INSP-126,2023-01-12 08:17:18.230690330,M02,OP013,Shift A,12ga Steel,LOT-1000,Surface Scratch,16,6,Material Defect,MATERIAL_DEFECT,4.21,35.04,628.0
SCRAP-107,WO-10115,INSP-127,2023-01-12 08:43:18.230690330,M02,OP013,Shift A,12ga Steel,LOT-1000,Surface Scratch,13,9,Incoming Defect,MATERIAL_DEFECT,1.75,31.71,434.98
SCRAP-108,WO-10116,INSP-128,2023-01-13 19:42:27.830059581,M01,OP010,Shift B,Aluminum 5052,LOT-1005,Surface Scratch,1,1,Machine Issue,MACHINE_ISSUE,8.44,14.08,22.52
SCRAP-109,WO-10116,INSP-129,2023-01-13 20:13:27.830059581,M01,OP010,Shift B,Aluminum 5052,LOT-1005,Surface Scratch,1,1,UNKNOWN,UNKNOWN,10.76,54.88,65.64
SCRAP-110,WO-10117,INSP-130,2023-01-13 09:01:39.205077562,M07,OP019,Shift A,16ga Steel,LOT-1001,Dimensional,8,11,Op Error,OPERATOR_ERROR,8.99,52.68,493.36
SCRAP-111,WO-10118,INSP-131,2023-01-13 08:38:34.371062720,M07,OP005,Shift A,16ga Steel,LOT-1001,Dimensional,10,2,machine issue,MACHINE_ISSUE,5.05,22.98,280.3
SCRAP-112,WO-10119,INSP-132,2023-01-13 17:26:42.738212908,M06,OP007,Shift B,14ga Steel,LOT-1006,Dimensional,56,7,material defect,MATERIAL_DEFECT,11.41,28.19,2217.6
SCRAP-113,WO-10120,INSP-133,2023-01-13 12:18:51.994650243,M06,OP009,Shift A,16ga Steel,LOT-1001,Surface Scratch,12,9,human error,OPERATOR_ERROR,11.0,59.99,851.88
SCRAP-114,WO-10121,INSP-134,2023-01-13 10:19:38.436842710,M02,OP018,Shift A,16ga Steel,LOT-1001,Dimensional,5,11,Operator Error,OPERATOR_ERROR,18.58,7.21,128.95
SCRAP-115,WO-10121,INSP-135,2023-01-13 10:49:38.436842710,M02,OP018,Shift A,16ga Steel,LOT-1001,Dimensional,6,10,human error,OPERATOR_ERROR,1.58,13.38,89.76
SCRAP-116,WO-10122,INSP-136,2023-01-13 09:00:20.160687088,M06,OP017,Shift A,Stainless 304,LOT-1009,Dimensional,4,4,Op Error,OPERATOR_ERROR,9.02,30.58,158.4
SCRAP-117,WO-10124,INSP-138,2023-01-16 11:16:00.430741065,M06,OP017,Shift A,Stainless 304,LOT-1009,Weld Defect,2,3,Operator,OPERATOR_ERROR,5.99,46.14,104.26
SCRAP-118,WO-10125,INSP-139,2023-01-16 11:39:35.064333066,M04,OP015,Shift A,Stainless 304,LOT-1007,Dimensional,5,1,op err,OPERATOR_ERROR,1.83,36.83,193.3
SCRAP-119,WO-10126,INSP-140,2023-01-16 10:27:31.087669579,M05,OP005,Shift A,12ga Steel,LOT-1000,Weld Defect,13,4,MACHINE_ISSUE,MACHINE_ISSUE,5.3,26.82,417.56
SCRAP-120,WO-10129,INSP-144,2023-01-16 18:16:56.062464632,M01,OP016,Shift B,Aluminum 5052,LOT-1005,Dimensional,4,1,set up error,SETUP_ERROR,16.07,18.36,137.72
SCRAP-121,WO-10130,INSP-145,2023-01-16 12:18:05.827949400,M07,OP002,Shift A,16ga Steel,LOT-1001,Dimensional,8,1,DESIGN_ISSUE,DESIGN_ISSUE,12.1,11.66,190.08
SCRAP-122,WO-10132,INSP-148,2023-01-16 12:01:31.895527291,M05,OP015,Shift A,14ga Steel,LOT-1006,Surface Scratch,13,7,Mat Defect,MATERIAL_DEFECT,5.55,25.38,402.09
SCRAP-123,WO-10132,INSP-149,2023-01-16 12:24:31.895527291,M05,OP015,Shift A,14ga Steel,LOT-1006,Surface Scratch,12,7,Op Error,OPERATOR_ERROR,5.46,31.96,449.04
SCRAP-124,WO-10133,INSP-150,2023-01-16 16:37:24.330317314,M07,OP014,Shift B,16ga Steel,LOT-1001,Surface Scratch,15,9,Machine,MACHINE_ISSUE,16.24,43.9,902.1
SCRAP-125,WO-10135,INSP-152,2023-01-16 08:11:40.806835808,M05,OP013,Shift A,12ga Steel,LOT-1000,Dimensional,13,1,setup err,SETUP_ERROR,3.71,38.88,553.67
SCRAP-126,WO-10136,INSP-153,2023-01-16 08:57:38.953634864,M01,OP005,Shift A,16ga Steel,LOT-1001,Surface Scratch,7,6,Material Defect,MATERIAL_DEFECT,16.19,37.59,376.46
SCRAP-127,WO-10137,INSP-154,2023-01-16 19:37:17.389489462,M06,OP012,Shift B,16ga Steel,LOT-1001,Weld Defect,5,6,machine issue,MACHINE_ISSUE,2.78,53.49,281.35
SCRAP-128,WO-10138,INSP-155,2023-01-16 18:13:40.288857982,M06,OP008,Shift B,16ga Steel,LOT-1001,Porosity,10,6,Op Error,OPERATOR_ERROR,13.33,23.5,368.3
SCRAP-129,WO-10139,INSP-156,2023-01-17 17:17:45.709735680,M01,OP014,Shift B,12ga Steel,LOT-1000,Burr,2,2,bad material,MATERIAL_DEFECT,1.44,48.88,100.64
SCRAP-130,WO-10140,INSP-157,2023-01-17 20:08:16.875302106,M05,OP003,Shift B,12ga Steel,LOT-1000,Porosity,2,1,MACHINE_ISSUE,MACHINE_ISSUE,1.77,5.56,14.66
SCRAP-131,WO-10141,INSP-158,2023-01-17 15:31:53.507973367,M06,OP007,Shift B,Aluminum 5052,LOT-1005,Weld Defect,2,3,operator error,OPERATOR_ERROR,8.47,35.53,88.0
SCRAP-132,WO-10142,INSP-159,2023-01-17 12:27:24.191441436,M03,OP005,Shift A,14ga Steel,LOT-1006,Bend Angle,13,21,Setup Error,SETUP_ERROR,6.25,48.61,713.18
SCRAP-133,WO-10143,INSP-160,2023-01-17 12:16:12.357578897,M03,OP002,Shift A,Stainless 304,LOT-1009,Bend Angle,7,6,equipment failure,MACHINE_ISSUE,2.76,41.52,309.96
SCRAP-134,WO-10144,INSP-161,2023-01-17 16:54:11.691843127,M07,OP016,Shift B,"3/8"" Plate",LOT-1004,Burr,8,7,Machine,MACHINE_ISSUE,2.46,46.03,387.92
SCRAP-135,WO-10145,INSP-162,2023-01-18 17:27:11.577063374,M07,OP001,Shift B,16ga Steel,LOT-1001,Bend Angle,4,1,Mach Issue,MACHINE_ISSUE,6.77,17.68,97.8
